"CASN"	"Compound"	"Assay"	"Endpoint"	"S9"	"BMR"	"EXP_loglik"	"EXP_AIC"	"EXP_BMDL"	"EXP_BMD"	"EXP_BMDU"	"HILL_loglik"	"HILL_AIC"	"HILL_BMDL"	"HILL_BMD"	"HILL_BMDU"	"GEO_BMDL"	"GEO_BMD"	"GEO_BMDU"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.2	14.96	-19.92	11.6	26	49.8	14.96	-19.92	11.6	26	49.8	"11.6"	"26"	"49.8"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"24hr p53 shift"	"-"	0.2	10.73	-11.46	97.2	110	120	8.92	-7.84	88.1	110	119	"92.5382083249941"	"110"	"119.498953970317"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"24hr p-H3"	"-"	0.2	5.74	-1.48	259	300	319	4.25	1.5	233	270	309	"245.656263913624"	"284.604989415154"	"313.960188558995"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"24hr Polyploidy"	"-"	0.2	-2.5	15	38.1	71	105	-2.59	15.18	38.4	72	102	"38.2497058812221"	"71.4982517268779"	"103.489129863962"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.2	4.37	1.26	86.4	110	129	3.21	3.58	70.1	110	131	"77.8244177620366"	"110"	"129.996153789256"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"4hr p53 shift"	"-"	0.2	22.67	-35.34	90.3	140	189	22.67	-35.34	90.3	140	189	"90.3"	"140"	"189"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"4hr p-H3"	"-"	0.2	-1.54	13.08	NA	NA	NA	-1.72	13.44	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"Ames II TAMI"	"TAMIX"	"+"	0.2	-18.02	46.04	NA	NA	NA	-18.05	46.1	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"Ames II TAMI"	"TAMIX"	"-"	0.2	-4.41	18.82	NA	NA	NA	-4.41	18.82	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"Ames II"	"TA98"	"+"	0.2	-15.4	40.8	NA	NA	NA	-15.41	40.82	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"Ames II"	"TA98"	"-"	0.2	-21.26	52.52	NA	NA	NA	-21.31	52.62	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"CometChip"	"% DNA in tail"	"-"	0.2	11.09	-12.18	1.52e-05	0.014	0.0893	11.13	-12.26	1.61e-05	0.031	0.159	"1.56435290136209e-05"	"0.0208326666559997"	"0.119158298074452"
"33419-42-0"	"Etoposide"	"MicroFlow"	"% Micronucleus"	"-"	0.2	-10.67	31.34	NA	NA	NA	-9.89	29.78	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"MultiFLow"	"%Cytotoxicity"	"-"	0.2	13.17	-16.34	0	3.1e-06	0.00801	13.2	-16.4	2.32e-06	0.0025	0.0143	"0"	"8.80340843082951e-05"	"0.0107024763489578"
"33419-42-0"	"Etoposide"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.2	18.56	-27.12	0.0353	0.044	0.054	19.99	-29.98	0.0393	0.047	0.0558	"0.037246342102279"	"0.0454752680036083"	"0.0548926224551169"
"33419-42-0"	"Etoposide"	"MultiFLow"	"24hr p53 shift"	"-"	0.2	30.68	-51.36	0.015	0.018	0.0207	34.12	-58.24	0.0176	0.02	0.0222	"0.0162480768092719"	"0.0189736659610103"	"0.0214368841019398"
"33419-42-0"	"Etoposide"	"MultiFLow"	"24hr p-H3"	"-"	0.2	-2.84	15.68	0.00804	0.034	0.0742	-3.65	17.3	0.0128	0.05	0.0882	"0.0101445551898543"	"0.0412310562561766"	"0.0808977131938845"
"33419-42-0"	"Etoposide"	"MultiFLow"	"24hr Polyploidy"	"-"	0.2	-8.08	26.16	NA	NA	NA	-8.17	26.34	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.2	31.74	-53.48	0.0248	0.031	0.0374	31.97	-53.94	0.0252	0.031	0.0382	"0.0249991999871996"	"0.031"	"0.0377978835386322"
"33419-42-0"	"Etoposide"	"MultiFLow"	"4hr p53 shift"	"-"	0.2	32.46	-54.92	0.0427	0.053	0.0649	32.46	-54.92	0.0427	0.053	0.0649	"0.0427"	"0.053"	"0.0649"
"33419-42-0"	"Etoposide"	"MultiFLow"	"4hr p-H3"	"-"	0.2	5.79	-1.58	0.00572	0.014	0.0458	3.17	3.66	0.0209	0.045	0.0764	"0.0109338008030145"	"0.0250998007960223"	"0.0591533600060047"
"33419-42-0"	"Etoposide"	"TGR FE1"	"Mutation Frequency"	"-"	0.2	0.98	8.04	NA	NA	NA	0.98	8.04	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"Ames II TAMI"	"TAMIX"	"+"	0.2	-15.38	40.76	NA	NA	NA	-15.38	40.76	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"Ames II TAMI"	"TAMIX"	"-"	0.2	-16.49	42.98	NA	NA	NA	-16.24	42.48	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"Ames II"	"TA98"	"+"	0.2	-18.2	46.4	NA	NA	NA	-18.2	46.4	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"Ames II"	"TA98"	"-"	0.2	-13.56	37.12	0.0962	50	1790	-13.56	37.12	0.0955	49	1810	"0.0958493609785689"	"49.4974746830583"	"1799.97222200788"
"24292-52-2"	"Hesperidin methyl chalcone"	"CometChip"	"% DNA in tail"	"-"	0.2	14.12	-18.24	1180	2200	3390	13.54	-17.08	767	2200	5020	"951.346414299229"	"2200"	"4125.26362793943"
"24292-52-2"	"Hesperidin methyl chalcone"	"MicroFlow"	"% Micronucleus"	"-"	0.2	0.78	8.44	16.2	65	117	1.15	7.7	21.7	62	112	"18.7493999903997"	"63.4822809924155"	"114.472704170033"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"%Cytotoxicity"	"-"	0.2	-0.02	10.04	5.64	17	91.1	1.8	6.4	11.2	22	81.4	"7.94782989249267"	"19.3390796058137"	"86.1135297151383"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.2	14.81	-19.62	523	560	591	12.44	-14.88	491	540	586	"506.747471626648"	"549.909083394701"	"588.494689865593"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"24hr p53 shift"	"-"	0.2	21.38	-32.76	448	480	511	20.56	-31.12	452	470	491	"449.995555533607"	"474.973683481517"	"500.900189658579"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"24hr p-H3"	"-"	0.2	1.7	6.6	620	760	938	0.76	8.48	551	760	1040	"584.482677245442"	"760"	"987.684160043078"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"24hr Polyploidy"	"-"	0.2	-1.92	13.84	265	350	428	-2.16	14.32	257	350	429	"260.969346858975"	"350"	"428.499708284615"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.2	10.18	-10.36	NA	NA	NA	10.18	-10.36	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"4hr p53 shift"	"-"	0.2	18.51	-27.02	524	790	1080	17.8	-25.6	434	850	1520	"476.881536652448"	"819.451035755035"	"1281.24939024376"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"4hr p-H3"	"-"	0.2	-1.94	13.88	NA	NA	NA	-2.14	14.28	NA	NA	NA	"NA"	"NA"	"NA"
"66-27-3"	"Methyl methanesulfonate"	"Ames II TAMI"	"TAMIX"	"+"	0.2	-22.55	55.1	10.7	22	27.6	-23.06	56.12	10.3	17	24	"10.4980950652964"	"19.3390796058137"	"25.7371327074327"
"66-27-3"	"Methyl methanesulfonate"	"Ames II TAMI"	"TAMIX"	"-"	0.2	-19.73	49.46	12.5	24	29.2	-20.15	50.3	11.8	19	26.3	"12.1449578014911"	"21.3541565040626"	"27.7120912238683"
"66-27-3"	"Methyl methanesulfonate"	"Ames II"	"TA98"	"+"	0.2	-19.05	48.1	9.12	24	31.8	-19.17	48.34	9.26	19	29.4	"9.189733402009"	"21.3541565040626"	"30.5764615349782"
"66-27-3"	"Methyl methanesulfonate"	"Ames II"	"TA98"	"-"	0.2	-10.2	30.4	4	12	30.6	-10.2	30.4	4.18	12	27.7	"4.08900966005217"	"12"	"29.1139141992278"
"66-27-3"	"Methyl methanesulfonate"	"CometChip"	"% DNA in tail"	"-"	0.2	10.2	-10.4	30.6	69	140	10.2	-10.4	30.6	69	140	"30.6"	"69"	"140"
"66-27-3"	"Methyl methanesulfonate"	"MicroFlow"	"% Micronucleus"	"-"	0.2	-29.09	68.18	0.934	2.2	4.21	-29.09	68.18	0.934	2.2	4.21	"0.934"	"2.2"	"4.21"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"%Cytotoxicity"	"-"	0.2	7.21	-4.42	0.00396	0.65	3.78	7.21	-4.42	0.00396	0.65	3.77	"0.00396"	"0.65"	"3.77499668874027"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.2	19.08	-28.16	1.23	2.3	4.08	17.27	-24.54	1.69	3.3	5.48	"1.44176974583322"	"2.75499546279118"	"4.72846698201436"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"24hr p53 shift"	"-"	0.2	34.03	-58.06	12.6	16	19.4	30.82	-51.64	12.6	17	20.9	"12.6"	"16.4924225024706"	"20.1360373460122"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"24hr p-H3"	"-"	0.2	0.66	8.68	1.91	9.3	22	0.06	9.88	2.46	12	27.3	"2.16762542889679"	"10.5640901169954"	"24.5071418162135"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"24hr Polyploidy"	"-"	0.2	1.36	7.28	0.011	0.89	56.5	1.36	7.28	0.0031	0.89	56.5	"0.00583952052826257"	"0.89"	"56.5"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.2	42.11	-74.22	4.05	5.5	7.19	42.26	-74.52	4.38	5.9	7.75	"4.21176922444713"	"5.69649014745045"	"7.46475049817474"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"4hr p53 shift"	"-"	0.2	46.85	-83.7	97.9	110	120	47.05	-84.1	97.5	110	119	"97.6997952914949"	"110"	"119.498953970317"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"4hr p-H3"	"-"	0.2	-1.83	13.66	1.27	18	61.3	-2.32	14.64	0.822	16	51.3	"1.02173382052274"	"16.9705627484771"	"56.0775356091902"
"66-27-3"	"Methyl methanesulfonate"	"TGR FE1"	"Mutation Frequency"	"-"	0.2	11.78	-13.56	7.63	130	751	11.74	-13.48	10.4	120	733	"8.90797395595654"	"124.899959967968"	"741.945415782051"
"66-27-3"	"Methyl methanesulfonate"	"TGR FE1"	"Mutation Frequency"	"-"	0.25	11.78	-13.56	25.9	220	1020	11.74	-13.48	25.4	210	996	"25.6487816474779"	"214.941852602047"	"1007.92856889762"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"Ames II TAMI"	"TAMIX"	"+"	0.25	-31.73	73.46	9000	23000	26200	-32.24	74.48	8710	15000	21800	"8853.81273802422"	"18574.1756210067"	"23898.9539520038"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"Ames II TAMI"	"TAMIX"	"-"	0.25	-24.19	58.38	33.1	220	321	-24.33	58.66	60.1	210	302	"44.6016815826489"	"214.941852602047"	"311.355102736409"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"Ames II"	"TA98"	"+"	0.25	-27.83	65.66	3560	6800	8600	-28.55	67.1	3240	5100	7850	"3396.23320754038"	"5888.97274573418"	"8216.44692065859"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"Ames II"	"TA98"	"-"	0.25	-29.84	69.68	3010	6500	8240	-30.62	71.24	2810	4600	7250	"2908.28127938135"	"5468.08924579693"	"7729.16554357584"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"CometChip"	"% DNA in tail"	"-"	0.25	16.25	-22.5	74.4	100	131	16.78	-23.56	83.1	110	143	"78.629765356384"	"104.880884817015"	"136.868550076342"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MicroFlow"	"% Micronucleus"	"-"	0.25	-22.54	55.08	15.9	29	43.1	-22.56	55.12	15.8	29	43.2	"15.8499211354505"	"29"	"43.1499710312765"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"%Cytotoxicity"	"-"	0.25	6.11	-2.22	10.2	27	45.4	7.2	-4.4	17.7	31	44.6	"13.4365174059352"	"28.9309522829789"	"44.9982221871042"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.25	37.55	-65.1	11.5	14	17.2	41.13	-72.26	13.9	16	18.6	"12.6431799797361"	"14.9666295470958"	"17.8863076122491"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"24hr p53 shift"	"-"	0.25	36.47	-62.94	31.4	41	50.8	37.6	-65.2	33.9	43	52	"32.6260632010667"	"41.988093550434"	"51.3964979351706"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"24hr p-H3"	"-"	0.25	8.33	-6.66	19.4	41	66.9	8.23	-6.46	17.7	40	69.6	"18.5305153732971"	"40.4969134626332"	"68.236647045411"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"24hr Polyploidy"	"-"	0.25	-9.64	29.28	NA	NA	NA	-9.75	29.5	NA	NA	NA	"NA"	"NA"	"NA"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.25	37.32	-64.64	3.94	5.9	8.28	37.93	-65.86	4.35	6.5	9.09	"4.13992753559769"	"6.19273768215641"	"8.67555185564584"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"4hr p53 shift"	"-"	0.25	44.51	-79.02	134	160	184	44.51	-79.02	134	160	184	"134"	"160"	"184"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"MultiFLow"	"4hr p-H3"	"-"	0.25	2.28	5.44	146	240	350	0.45	9.1	192	310	340	"167.427596291651"	"272.763633939717"	"344.963766213207"
"759-73-9"	"1-Ethyl-1-nitrosourea"	"TGR FE1"	"Mutation Frequency"	"-"	0.25	12.17	-14.34	4.45	13	21.5	12.34	-14.68	5.03	16	27.6	"4.73112037471041"	"14.422205101856"	"24.3598029548681"
"2835-98-5"	"2-Amino-5-methylphenol"	"Ames II TAMI"	"TAMIX"	"+"	0.25	-12.18	34.36	6810	23000	33300	-12.19	34.38	7530	20000	31800	"7160.95664000279"	"21447.6105895272"	"32541.358299862"
"2835-98-5"	"2-Amino-5-methylphenol"	"Ames II TAMI"	"TAMIX"	"-"	0.25	-12.33	34.66	102	1600	9090	-12.37	34.74	130	1300	8540	"115.152073363878"	"1442.2205101856"	"8810.70939255177"
"2835-98-5"	"2-Amino-5-methylphenol"	"Ames II"	"TA98"	"+"	0.25	-11.01	32.02	NA	NA	NA	-11.01	32.02	NA	NA	NA	"NA"	"NA"	"NA"
"2835-98-5"	"2-Amino-5-methylphenol"	"Ames II"	"TA98"	"-"	0.25	-13.73	37.46	3130	8000	12300	-13.84	37.68	3290	7000	12600	"3209.00296042244"	"7483.31477354788"	"12449.0963527479"
"2835-98-5"	"2-Amino-5-methylphenol"	"CometChip"	"% DNA in tail"	"-"	0.25	9.91	-9.82	128	150	167	9.14	-8.28	127	150	164	"127.499019604074"	"150"	"165.493202277314"
"2835-98-5"	"2-Amino-5-methylphenol"	"MicroFlow"	"% Micronucleus"	"-"	0.25	-10.73	31.46	NA	NA	NA	-10.73	31.46	NA	NA	NA	"NA"	"NA"	"NA"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"%Cytotoxicity"	"-"	0.25	2.83	4.34	0	0.00064	12.2	2.89	4.22	0	0.0043	13	"0"	"0.00165891530826622"	"12.5936491931449"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.25	14.96	-19.92	16.6	34	62.7	14.96	-19.92	16.6	34	62.7	"16.6"	"34"	"62.7"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"24hr p53 shift"	"-"	0.25	10.73	-11.46	104	120	127	8.92	-7.84	95	110	127	"99.3981891183134"	"114.891252930761"	"127"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"24hr p-H3"	"-"	0.25	5.74	-1.48	281	320	340	4.25	1.5	255	290	332	"267.684515801718"	"304.630924234556"	"335.976189632539"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"24hr Polyploidy"	"-"	0.25	-2.5	15	42.6	76	111	-2.59	15.18	42.9	77	108	"42.7497368412953"	"76.4983659956211"	"109.489725545368"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.25	4.37	1.26	93.3	120	137	3.21	3.58	77.6	110	140	"85.0886596439267"	"114.891252930761"	"138.491877018113"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"4hr p53 shift"	"-"	0.25	22.67	-35.34	120	170	225	22.67	-35.34	120	170	225	"120"	"170"	"225"
"2835-98-5"	"2-Amino-5-methylphenol"	"MultiFLow"	"4hr p-H3"	"-"	0.25	-1.54	13.08	NA	NA	NA	-1.72	13.44	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"Ames II TAMI"	"TAMIX"	"+"	0.25	-18.02	46.04	NA	NA	NA	-18.05	46.1	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"Ames II TAMI"	"TAMIX"	"-"	0.25	-4.41	18.82	NA	NA	NA	-4.41	18.82	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"Ames II"	"TA98"	"+"	0.25	-15.4	40.8	NA	NA	NA	-15.41	40.82	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"Ames II"	"TA98"	"-"	0.25	-21.26	52.52	NA	NA	NA	-21.31	52.62	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"CometChip"	"% DNA in tail"	"-"	0.25	11.09	-12.18	3.5e-05	0.019	0.105	11.13	-12.26	3.78e-05	0.038	0.176	"3.63730669589464e-05"	"0.0268700576850888"	"0.135941163743731"
"33419-42-0"	"Etoposide"	"MicroFlow"	"% Micronucleus"	"-"	0.25	-10.67	31.34	NA	NA	NA	-9.89	29.78	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"MultiFLow"	"%Cytotoxicity"	"-"	0.25	13.17	-16.34	0	4e-06	0.00932	13.2	-16.4	3.01e-06	0.0029	0.016	"0"	"0.00010770329614269"	"0.012211470017979"
"33419-42-0"	"Etoposide"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.25	18.56	-27.12	0.0407	0.05	0.0602	19.99	-29.98	0.0446	0.053	0.0614	"0.0426053987189417"	"0.051478150704935"	"0.0607970394016024"
"33419-42-0"	"Etoposide"	"MultiFLow"	"24hr p53 shift"	"-"	0.25	30.68	-51.36	0.0186	0.022	0.0249	34.12	-58.24	0.0211	0.024	0.0261	"0.0198106032215074"	"0.0229782505861521"	"0.0254929401992002"
"33419-42-0"	"Etoposide"	"MultiFLow"	"24hr p-H3"	"-"	0.25	-2.84	15.68	0.0112	0.041	0.083	-3.65	17.3	0.016	0.056	0.095	"0.0133865604245452"	"0.0479165942028438"	"0.0887975224879613"
"33419-42-0"	"Etoposide"	"MultiFLow"	"24hr Polyploidy"	"-"	0.25	-8.31	26.62	NA	NA	NA	-8.17	26.34	NA	NA	NA	"NA"	"NA"	"NA"
"33419-42-0"	"Etoposide"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.25	31.74	-53.48	0.0327	0.04	0.0471	31.97	-53.94	0.0333	0.04	0.0477	"0.0329986363354609"	"0.04"	"0.0473990506234038"
"33419-42-0"	"Etoposide"	"MultiFLow"	"4hr p53 shift"	"-"	0.25	32.46	-54.92	0.0581	0.071	0.0843	32.46	-54.92	0.0581	0.071	0.0843	"0.0581"	"0.071"	"0.0843"
"33419-42-0"	"Etoposide"	"MultiFLow"	"4hr p-H3"	"-"	0.25	5.79	-1.58	0.00874	0.02	0.0561	3.17	3.66	0.0261	0.054	0.0868	"0.0151034433160124"	"0.03286335345031"	"0.0697816594815572"
"33419-42-0"	"Etoposide"	"TGR FE1"	"Mutation Frequency"	"-"	0.25	0.98	8.04	NA	NA	NA	0.98	8.04	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"Ames II TAMI"	"TAMIX"	"+"	0.25	-15.38	40.76	NA	NA	NA	-15.38	40.76	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"Ames II TAMI"	"TAMIX"	"-"	0.25	-16.51	43.02	NA	NA	NA	-16.24	42.48	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"Ames II"	"TA98"	"+"	0.25	-18.2	46.4	NA	NA	NA	-18.2	46.4	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"Ames II"	"TA98"	"-"	0.25	-13.56	37.12	0.236	74	2510	-13.56	37.12	0.233	71	2000	"0.234495202509561"	"72.4844810976805"	"2240.53565024081"
"24292-52-2"	"Hesperidin methyl chalcone"	"CometChip"	"% DNA in tail"	"-"	0.25	14.12	-18.24	1480	2500	4260	13.54	-17.08	1150	2600	8920	"1304.60722058403"	"2549.50975679639"	"6164.349114059"
"24292-52-2"	"Hesperidin methyl chalcone"	"MicroFlow"	"% Micronucleus"	"-"	0.25	0.78	8.44	21	72	125	1.15	7.7	26.8	69	119	"23.7234061635339"	"70.4840407468244"	"121.963109176505"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"%Cytotoxicity"	"-"	0.25	-0.02	10.04	6.23	18	96.2	1.8	6.4	12	23	86.2	"8.64638652848691"	"20.3469899493758"	"91.062835448936"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.25	14.81	-19.62	557	590	627	12.44	-14.88	524	570	623	"540.248091158127"	"579.913786695919"	"624.996799991808"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"24hr p53 shift"	"-"	0.25	21.38	-32.76	481	510	542	20.56	-31.12	483	500	523	"481.998962654485"	"504.975246918104"	"532.415251472007"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"24hr p-H3"	"-"	0.25	1.7	6.6	677	810	1010	0.76	8.48	617	820	1130	"646.304107986326"	"814.984662432367"	"1068.31643252362"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"24hr Polyploidy"	"-"	0.25	-1.92	13.84	285	370	453	-2.16	14.32	277	370	454	"280.971528806746"	"370"	"453.499724365958"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.25	10.18	-10.36	NA	NA	NA	10.18	-10.36	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"4hr p53 shift"	"-"	0.25	18.23	-26.46	NA	NA	NA	17.79	-25.58	NA	NA	NA	"NA"	"NA"	"NA"
"24292-52-2"	"Hesperidin methyl chalcone"	"MultiFLow"	"4hr p-H3"	"-"	0.25	-1.94	13.88	NA	NA	NA	-2.14	14.28	NA	NA	NA	"NA"	"NA"	"NA"
"66-27-3"	"Methyl methanesulfonate"	"Ames II TAMI"	"TAMIX"	"+"	0.25	-22.55	55.1	12.2	24	29.4	-23.06	56.12	11.4	18	25.8	"11.7932183902445"	"20.7846096908265"	"27.5412418020684"
"66-27-3"	"Methyl methanesulfonate"	"Ames II TAMI"	"TAMIX"	"-"	0.25	-19.73	49.46	14	25	31.1	-20.15	50.3	13	20	28.3	"13.490737563232"	"22.3606797749979"	"29.6669850170185"
"66-27-3"	"Methyl methanesulfonate"	"Ames II"	"TA98"	"+"	0.25	-19.05	48.1	10.7	25	33.9	-19.17	48.34	10.5	20	31.6	"10.5995282913911"	"22.3606797749979"	"32.7298029324956"
"66-27-3"	"Methyl methanesulfonate"	"Ames II"	"TA98"	"-"	0.25	-10.2	30.4	5.4	13	32.7	-10.2	30.4	5.41	13	29.7	"5.40499768732605"	"13"	"31.1639214477254"
"66-27-3"	"Methyl methanesulfonate"	"CometChip"	"% DNA in tail"	"-"	0.25	10.2	-10.4	40.7	86	166	10.2	-10.4	40.7	86	166	"40.7"	"86"	"166"
"66-27-3"	"Methyl methanesulfonate"	"MicroFlow"	"% Micronucleus"	"-"	0.25	-29.09	68.18	1.14	2.6	4.78	-29.09	68.18	1.14	2.6	4.78	"1.14"	"2.6"	"4.78"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"%Cytotoxicity"	"-"	0.25	7.21	-4.42	0.0073	0.98	5.13	7.21	-4.42	0.0073	0.98	5.13	"0.0073"	"0.98"	"5.13"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"24hr g-H2aX shift"	"-"	0.25	19.08	-28.16	1.58	2.9	4.82	17.27	-24.54	2.05	3.9	6.16	"1.79972220078544"	"3.36303434416005"	"5.44896320413342"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"24hr p53 shift"	"-"	0.25	34.03	-58.06	15.3	19	22.4	30.82	-51.64	15.1	19	23.6	"15.1996710490721"	"19"	"22.9921725811199"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"24hr p-H3"	"-"	0.25	0.66	8.68	3.01	12	26.3	0.06	9.88	3.56	14	30.6	"3.27346910784263"	"12.9614813968157"	"28.3686446627258"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"24hr Polyploidy"	"-"	0.25	1.36	7.28	0.0268	1.7	72	1.36	7.28	0.00795	1.7	72.1	"0.0145965749407181"	"1.7"	"72.0499826509348"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"4hr g-H2aX shift"	"-"	0.25	42.11	-74.22	5.77	7.6	9.63	42.26	-74.52	6.11	8	10.1	"5.93756684172903"	"7.79743547584717"	"9.86220056579666"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"4hr p53 shift"	"-"	0.25	46.85	-83.7	121	130	148	47.05	-84.1	121	130	147	"121"	"130"	"147.499152539938"
"66-27-3"	"Methyl methanesulfonate"	"MultiFLow"	"4hr p-H3"	"-"	0.25	-1.83	13.66	2.25	22	66.2	-2.32	14.64	1.49	19	55.7	"1.83098334236006"	"20.4450483002609"	"60.7234715740133"
"66-27-3"	"Methyl methanesulfonate"	"TGR FE1"	"Mutation Frequency"	"-"	0.25	11.78	-13.56	25.9	220	1020	11.74	-13.48	25.4	210	996	"25.6487816474779"	"214.941852602047"	"1007.92856889762"
